"ECSO_labels","ECSO_ID"
"cobalt ion concentration","http://purl.dataone.org/odo/ecso_00001780"
"cobalt ion concentration in ice","http://purl.dataone.org/odo/ecso_00002373"
"cobalt ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001781"
"cobalt ion concentration in snow","http://purl.dataone.org/odo/ecso_00001987"
"cobalt solubility in water","http://purl.dataone.org/odo/ecso_00001830"
"collection site latitude","http://purl.dataone.org/odo/ecso_00002136"
"collection site longitude","http://purl.dataone.org/odo/ecso_00002149"
"colored dissolved organic matter absorbance","http://purl.dataone.org/odo/ecso_00001500"
"colored dissolved organic matter absorbance at wavelength 250 nm","http://purl.dataone.org/odo/ecso_00001505"
"colored dissolved organic matter absorbance at wavelength 254 nm","http://purl.dataone.org/odo/ecso_00001506"
"colored dissolved organic matter absorbance at wavelength 350 nm","http://purl.dataone.org/odo/ecso_00001507"
"colored dissolved organic matter absorbance at wavelength 365 nm","http://purl.dataone.org/odo/ecso_00001508"
"colored dissolved organic matter absorbance at wavelength 375 nm","http://purl.dataone.org/odo/ecso_00001509"
"colored dissolved organic matter absorbance at wavelength 400 nm","http://purl.dataone.org/odo/ecso_00001542"
"colored dissolved organic matter absorbance at wavelength 412 nm","http://purl.dataone.org/odo/ecso_00001510"
"colored dissolved organic matter absorbance at wavelength 440 nm","http://purl.dataone.org/odo/ecso_00001511"
"colored dissolved organic matter absorbance at wavelength 443 nm","http://purl.dataone.org/odo/ecso_00001512"
"colored dissolved organic matter absorbance ratio","http://purl.dataone.org/odo/ecso_00001501"
"computed salinity","http://purl.dataone.org/odo/ecso_00001659"
"condensed water path","http://purl.dataone.org/odo/ecso_00002360"
"conductivity standard deviation","http://purl.dataone.org/odo/ecso_00001742"
"conductivity temperature and depth transmissivity percentage","http://purl.dataone.org/odo/ecso_00001731"
"conductivity temperature and depth transmissivity ratio","http://purl.dataone.org/odo/ecso_00001744"
"conioselinum chinense percent cover","http://purl.dataone.org/odo/ecso_00001636"
"container weight","http://purl.dataone.org/odo/ecso_00002175"
"copper ion concentration","http://purl.dataone.org/odo/ecso_00001782"
"copper ion concentration in lake water","http://purl.dataone.org/odo/ecso_00001783"
"copper ion concentration in soil","http://purl.dataone.org/odo/ecso_00001885"
"core sample latitude","http://purl.dataone.org/odo/ecso_00002139"
"core sample longitude","http://purl.dataone.org/odo/ecso_00002158"
"corrected dissolved oxygen concentration","http://purl.dataone.org/odo/ecso_00001670"
"corrected liquid equivalent snowfall rate","http://purl.dataone.org/odo/ecso_00002234"
"corrected par","http://purl.dataone.org/odo/ecso_00001578"
"corrected photosynthetically active radiation","http://purl.dataone.org/odo/ecso_00001578"
"corrected sonic temperature","http://purl.dataone.org/odo/ecso_00001649"
"corrected wind direction","http://purl.dataone.org/odo/ecso_00001713"
"count density","http://purl.dataone.org/odo/ecso_00001160"
"cover percentage","http://purl.dataone.org/odo/ecso_00001604"
"crown cover","http://purl.dataone.org/odo/ecso_00001191"
"crown cover percentage","http://purl.dataone.org/odo/ecso_00001191"
"crown diameter","http://purl.dataone.org/odo/ecso_00001214"
"crown height","http://purl.dataone.org/odo/ecso_00001221"
"cruise identifier","http://purl.dataone.org/odo/ecso_00002370"
"crustose lichen percent cover","http://purl.dataone.org/odo/ecso_00001605"
"cryogenesis","http://www.purl.dataone.org/odo/ecso_00010102"
"cryogenic aquiclude","http://www.purl.dataone.org/odo/ecso_00010105"
"cryogenic temperature","http://www.purl.dataone.org/odo/ecso_00010106"
"cryopeg","http://www.purl.dataone.org/odo/ecso_00010107"
"cryoturbation","http://www.purl.dataone.org/odo/ecso_00010078"
"ctd transmissivity percentage","http://purl.dataone.org/odo/ecso_00001731"
"ctd transmissivity ratio","http://purl.dataone.org/odo/ecso_00001744"
"d13c","http://purl.dataone.org/odo/ecso_00000669"
"d14c","http://purl.dataone.org/odo/ecso_00000668"
"d15n","http://purl.dataone.org/odo/ecso_00001738"
"d15n standard deviation","http://purl.dataone.org/odo/ecso_00001741"
"d18o","http://purl.dataone.org/odo/ecso_00001677"
"d18o in atmospheric oxygen","http://purl.dataone.org/odo/ecso_00001676"
"d18o in water","http://purl.dataone.org/odo/ecso_00001671"
"d18o in water vapor","http://purl.dataone.org/odo/ecso_00002200"
"d18o standard deviation","http://purl.dataone.org/odo/ecso_00001673"
"d18o standardized","http://purl.dataone.org/odo/ecso_00001672"
"d18o standardized standard deviation","http://purl.dataone.org/odo/ecso_00001675"
"data logger panel temperature","http://purl.dataone.org/odo/ecso_00001532"
"data quality flag","http://purl.dataone.org/odo/ecso_00001720"
"data record latitude","http://purl.dataone.org/odo/ecso_00002144"
"data record longitude","http://purl.dataone.org/odo/ecso_00002161"
"date","http://purl.dataone.org/odo/ecso_00002051"
"date and time of measurement","http://purl.dataone.org/odo/ecso_00002043"
